gene_name	C1	C2	C3	M1	M2	M3	FatBodyHet_1	FatBodyHet_2	FatBodyHet_3	FatBodyMut_1	FatBodyMut_2	FatBodyMut_3
Myo81F	2	3	3	1	2	0	0	2	1	3	0	2
CR41571	0	0	0	0	0	0	0	0	0	0	0	0
CR12798	0	0	0	0	0	0	0	0	0	0	0	0
lncRNA:CR46123	67	74	50	22	98	34	98	127	135	206	145	162
lncRNA:CR46122	0	0	0	0	0	0	0	0	0	0	0	0
CR40182	0	0	0	0	0	0	0	0	0	0	0	0
Pzl	0	0	0	0	1	0	0	0	0	0	0	0
lncRNA:CR45220	0	0	0	0	0	0	0	0	0	0	0	0
spok	252	427	306	253	519	297	0	1	1	0	0	0
Parp	434	455	400	384	761	457	130	112	263	213	122	174
Alg-2	552	559	658	702	1080	683	419	308	453	302	398	498
lncRNA:CR46141	0	0	0	0	0	0	0	0	0	0	0	0
Tim17b	2015	2136	2108	2274	3489	2424	2687	2597	2346	2190	2781	3236
CG41128	1001	1011	1053	1052	1549	1056	1123	1132	959	995	1234	1597
CG41099	983	1045	992	690	1610	969	867	721	888	787	939	1095
CG42402	66	97	70	44	104	83	2	8	22	6	3	5
Gfat1	1761	2026	1473	1570	2943	2338	12	6	16	2	15	24
lncRNA:CR41601	0	0	0	0	0	0	0	0	0	0	0	0
CG40198	741	561	832	939	1820	1336	0	5	4	0	0	1
lncRNA:CR46431	3	1	0	5	4	4	0	0	0	0	0	0
CG12581	1117	1055	1147	862	1682	1061	171	158	267	35	54	98
CR33294	0	1	0	1	1	2	1	1	0	1	0	2
Dsk	9	10	8	12	20	10	0	0	0	0	0	0
beta-Man	934	917	878	850	1536	1008	1155	1069	1470	1046	1035	1146
CG14636	101	121	67	35	68	56	0	0	0	10	0	0
aux	668	651	649	601	1123	743	537	476	501	431	381	492
CG31516	0	0	1	0	0	0	0	0	0	0	0	0
DhpD	656	690	655	700	1164	723	1524	1429	1310	1120	1520	1672
CG14641	543	574	580	589	892	614	614	641	588	500	634	698
abs	142	153	163	114	250	140	91	71	106	64	92	90
Gel	4853	5677	4663	4325	6987	4743	18090	17994	20207	14102	12456	13039
asRNA:CR46255	0	0	0	0	0	1	0	1	2	9	1	4
CG14642	126	170	105	102	165	171	129	149	92	18	28	12
CG34305	414	275	339	513	797	832	4	1	0	3	0	0
TwdlU	22	47	7	4	15	3	0	0	1	0	0	0
TwdlF	2102	3676	503	112	239	69	0	1	7	0	0	0
TwdlG	354	586	137	30	97	49	0	0	2	0	3	1
CG14644	1	2	0	0	0	1	0	0	0	0	0	0
TwdlV	320	486	234	110	261	96	0	0	11	0	0	0
Or82a	0	1	0	1	0	0	0	0	0	0	0	0
CG1092	223	250	180	191	291	198	719	569	1038	308	209	198
CG9766	6	2	2	2	4	4	0	3	4	2	0	1
lncRNA:CR45597	0	1	1	0	2	0	0	0	0	0	0	0
cpx	732	1083	777	587	1374	988	407	334	520	462	244	241
Nepl11	742	871	725	603	984	646	3412	3531	3297	1731	1424	1397
