"geneid"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"change"
"Myo81F"	1.58666002671314	0.601998167944176	1.55679894658761	0.386689732327808	0.698985918391081	NA	"unchanged"
"lncRNA:CR46123"	106.919947800061	0.373647086018994	0.326680553591566	1.14376898750499	0.252719454426495	0.48150401823173	"unchanged"
"spok"	146.382525121003	-2.01486324441263	1.57501731931499	-1.27926418313224	0.200804040801333	0.413118415382993	"downregulated"
"Parp"	301.360303657837	-0.124873751034709	0.308348022051655	-0.404976656583807	0.685494669825915	0.883055500397633	"unchanged"
"Alg-2"	524.527774584122	-0.153777435542326	0.16816105090338	-0.914465238628185	0.360472435379154	0.607020398691283	"unchanged"
"Tim17b"	2521.55644758022	-0.0668216037011612	0.0937950686520269	-0.712421288895951	0.476203936474437	0.730528679525957	"unchanged"
"CG41128"	1142.54073357981	0.0748874490025883	0.122748603957641	0.610087989501136	0.541803522301333	0.779689467384808	"unchanged"
"CG41099"	944.391386682914	0.0202494562723416	0.12610819211326	0.16057209236776	0.872430436699423	1	"unchanged"
"CG42402"	37.7834131658068	-1.34454616618862	0.658399808577517	-2.0421424014286	0.0411374079543546	0.135648669346151	"downregulated"
"Gfat1"	868.672372425607	0.0809663039590452	0.404494461150283	0.200166656741843	0.841350243491975	0.997893325114542	"unchanged"
"CG40198"	433.397630264531	-3.22324936566341	1.28747607318988	-2.50354117857694	0.0122957371167247	0.0537228369402896	"downregulated"
"lncRNA:CR46431"	1.21538510591159	0	2.5045714232498	0	1	NA	"unchanged"
"CG12581"	571.195650139162	-1.86573342955539	0.255587338968492	-7.29978815494219	2.88221165491965e-13	8.40323103143462e-12	"downregulated"
"CR33294"	0.813083977565024	0.39545128260235	1.99288523458723	0.198431538223653	0.842707444074349	NA	"unchanged"
"Dsk"	4.83642731788647	0	1.79601708756688	0	1	1	"unchanged"
"beta-Man"	1093.77387115651	-0.35038352023018	0.126511834758848	-2.76957109110043	0.00561301534632556	0.0287254314782543	"unchanged"
"CG14636"	34.5002366272523	4.11367224857916	1.42506500491525	2.88665586088391	0.00389359846308039	0.021245801949824	"upregulated"
"aux"	583.117073868073	-0.374321466342281	0.113582948422365	-3.29557800304974	0.000982194321015572	0.00664677239641839	"unchanged"
"DhpD"	1133.89518142052	-0.155427920790056	0.102185248957162	-1.5210406822536	0.128249628529003	0.305689598160907	"unchanged"
"CG14641"	618.784900703167	-0.176752792996396	0.0999791537799951	-1.76789646955146	0.0770782131325372	0.214130073083601	"unchanged"
"abs"	116.894086471698	-0.289875030827455	0.209686089719575	-1.38242375169055	0.166841627372812	0.364364936569685	"unchanged"
"Gel"	11447.6561246576	-0.652713887611643	0.128357073220616	-5.08514156044816	3.67351974439981e-07	5.33371524971267e-06	"unchanged"
"asRNA:CR46255"	1.68883559625612	2.12868523566021	1.84785143201387	1.15197856211864	0.249329882809461	NA	"upregulated"
"CG14642"	103.117279132179	-2.82204030694093	0.358784838312037	-7.86555061863173	3.67477474732273e-15	1.27271259162849e-13	"downregulated"
"CG34305"	223.967137512799	-0.8918657186442	1.08375037012635	-0.822943865329633	0.410539916238199	0.661229500753911	"unchanged"
"TwdlU"	7.46443196300046	-1.11886753708866	1.89647519964222	-0.589972142688574	0.555209325937393	0.789423490551648	"downregulated"
"TwdlF"	532.213289496343	-4.01287747555632	1.66079615879525	-2.41623720906682	0.0156818414551402	0.0648751455023709	"downregulated"
"TwdlG"	97.9404511661154	0.830797693556205	1.34447660021994	0.617933918240226	0.536618899510368	0.775615434898359	"unchanged"
"TwdlV"	113.32665771369	-4.47024764031225	1.76843500717236	-2.52779865936943	0.0114780154244399	0.0512832447579228	"downregulated"
"CG1092"	393.996062562146	-1.82682516927961	0.270138430315026	-6.76255195215741	1.35582036315667e-11	3.32084379489386e-10	"downregulated"
"CG9766"	2.43865091038554	-1.3572688698422	1.39757629058347	-0.971159055135061	0.331469079723994	0.574494401524415	"downregulated"
"cpx"	606.958199487685	-0.523727424081796	0.309684354298679	-1.69116526815779	0.0908052424221545	0.240706096424707	"unchanged"
"Nepl11"	1767.03806633004	-1.30816505602153	0.15437051371826	-8.47418995060836	2.36720908181941e-17	9.93953620262013e-16	"downregulated"
"Vps24"	331.902917738523	0.785615529065007	0.182950940626523	4.2941322213192	1.7537793831379e-05	0.000183918522580758	"unchanged"
"MP1"	1160.7843181533	-1.12427429823653	0.0780349024940465	-14.4073262386956	4.65380685419504e-47	7.66820447566229e-45	"downregulated"
"asRNA:CR46140"	8.9150007941626	-1.05787708193375	0.966629615062467	-1.09439754943302	0.273780658251872	0.507736128664581	"downregulated"
"Suv3"	938.768336065253	-0.210216834577341	0.133005300420938	-1.58051471566954	0.113989039568755	0.282698017174505	"unchanged"
"Syt14"	7.87914858833864	-0.189748726522175	1.59246741860732	-0.119153914425526	0.905153417411674	1	"unchanged"
"CG9795"	147.253806017615	-0.398286539324047	0.239896559315532	-1.6602428165724	0.0968656143029102	0.251351361380136	"unchanged"
"CG9776"	677.447452331825	-0.141257481794216	0.123778113271857	-1.14121534139052	0.253780321687234	0.482999824702253	"unchanged"
"Skp2"	329.608430223818	-0.00781178797011776	0.173062543817818	-0.0451385250545096	0.963996894149895	1	"unchanged"
"CG1103"	143.916801621752	0.410491506137009	0.197883924317893	2.07440552612838	0.0380416645317094	0.127489399624758	"unchanged"
"hkb"	0.779948202174815	0	2.4591742581211	0	1	NA	"unchanged"
"CG1090"	29.8353901452632	0.483202988797583	0.560879508538805	0.86150943552282	0.388957526691644	0.636843285572362	"unchanged"
"lncRNA:CR44922"	26.498337744935	-0.145646666557891	1.07181493597561	-0.135887886676367	0.891909911677812	1	"unchanged"
"Sfxn1-3"	4951.52414577489	-0.398025515700298	0.133935828852556	-2.9717628144032	0.00296095331729356	0.0169855062746628	"unchanged"
