gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Myo81F	1.58666002671314	-1.82227084825356	1.51668794123283	-1.20148040919502	0.229564901404627	0.790322466558138
CR41571	0					
CR12798	0					
lncRNA:CR46123	106.919947800061	-0.769550369542776	0.351290829027428	-2.19063609395476	0.0284781370302642	0.272047041779065
lncRNA:CR46122	0					
CR40182	0					
Pzl	0.0470830183640783	0.652299902555253	4.40735632396697	0.148002533629532	0.882340768717875	
lncRNA:CR45220	0					
spok	146.382525121003	-0.253069815886592	0.237902691522892	-1.06375347948613	0.287440390640833	0.848031407119449
Parp	301.360303657837	-0.0561251487061281	0.300797100045458	-0.186588064504765	0.851983625543552	0.996451851920289
Alg-2	524.527774584122	0.138672737636532	0.16345657856224	0.848376607759037	0.396228265861286	0.91665498561564
lncRNA:CR46141	0					
Tim17b	2521.55644758022	0.0528460143136096	0.0934721106996711	0.565366652341954	0.571824401932229	0.969134105505988
CG41128	1142.54073357981	-0.0770466340458652	0.122529539076733	-0.628800488652907	0.529479680087026	0.958079899166639
CG41099	944.391386682914	-0.270043090447992	0.12474006134211	-2.1648465420213	0.0303994392183627	0.283276228133933
CG42402	37.7834131658068	-0.375880692192154	0.490065662681225	-0.767000671166499	0.443081116478741	0.927753032573745
Gfat1	868.672372425607	0.0352446980517801	0.227908552374161	0.154644034568384	0.877101952991664	0.997712572322701
lncRNA:CR41601	0					
CG40198	433.397630264531	0.581989807070247	0.200931852321072	2.89645369983588	0.00377406328658993	0.0621829689273203
lncRNA:CR46431	1.21538510591159	1.43767232729906	2.03831144045408	0.705325152361793	0.480607911147282	
CG12581	571.195650139162	-0.247143350573106	0.227806945464103	-1.08488066537923	0.27797451238501	0.840609681080245
CR33294	0.813083977565024	1.62254545029701	2.01884554675695	0.803699645524367	0.421570458899356	
Dsk	4.83642731788647	0.278893229048194	0.753212493839206	0.370271644893522	0.71118009887553	0.991004650701603
beta-Man	1093.77387115651	-0.0406348307875948	0.126833073399774	-0.320380399988535	0.748679981695129	0.993893495579439
CG14636	34.5002366272523	-1.20835518763926	0.694932085950616	-1.73881047093447	0.0820681061727116	0.508169889579412
aux	583.117073868073	-0.0316711181332456	0.107999619793218	-0.293252126200859	0.76932944352459	0.994595079781973
CG31516	0.0811897149163561	-1.27122809421853	4.40735632396697	-0.288433246775546	0.77301512132663	
DhpD	1133.89518142052	0.0213405411140157	0.105821977068722	0.201664547432872	0.840178980167779	0.996451851920289
CG14641	618.784900703167	-0.0325176293424547	0.0988794324155338	-0.328861407757699	0.74226044541857	0.992402487714011
abs	116.894086471698	-0.23992316816118	0.190183327068575	-1.26153628637841	0.20711569498376	0.768463864224006
Gel	11447.6561246576	-0.260018885239998	0.128802788703154	-2.01873645639189	0.0435146186852205	0.352620018165965
asRNA:CR46255	1.68883559625612	0.652310535494974	2.31207708698178	0.282131828202367	0.777842428749388	0.996364790721942
CG14642	103.117279132179	-0.189440297974607	0.312610252391814	-0.605995153790315	0.544517971308	0.960170493336596
CG34305	223.967137512799	0.741503964801594	0.267719708427026	2.76970257123865	0.00561075024302801	0.0836108803245782
TwdlU	7.46443196300046	-2.25827336696721	0.978126228530575	-2.30877498332683	0.0209560709192824	0.222541265742826
TwdlF	532.213289496343	-4.31240186726931	1.0563963676191	-4.08218165023473	4.46149028532702e-05	0.00143952155577897
TwdlG	97.9404511661154	-3.0317091035389	0.51139317339928	-5.92833315194029	3.06025139485266e-09	2.1877797226731e-07
CG14644	0.313075875094813	-1.7803138085483	4.32851504618324	-0.411298976566602	0.68085331994136	
TwdlV	113.32665771369	-1.57026623151965	1.24779740241544	-1.25843043788998	0.208236129745749	0.769574563569905
Or82a	0.161891894035709	-0.309450083626251	4.40735632396697	-0.0702121772962803	0.944024782165639	
CG1092	393.996062562146	-0.275915964169091	0.275632188709466	-1.00102954397654	0.316812525338498	0.875074596503154
CG9766	2.43865091038554	-0.347533840598398	1.17548934450225	-0.295650353806958	0.767497114902218	0.994595079781973
lncRNA:CR45597	0.254705982644519	-0.624968507028797	4.3511840339206	-0.143631825764371	0.885791207900436	
cpx	606.958199487685	-0.185139517079593	0.307285736096737	-0.602499547916891	0.546841664024912	0.961228672645735
Nepl11	1767.03806633004	-0.409351381553784	0.158118635629068	-2.58888764075908	0.00962865061499225	0.126736679213941
mir-929	0					
Vps24	331.902917738523	-0.322645420357452	0.17223876564883	-1.87324508011907	0.061034549855984	0.433305982531429
MP1	1160.7843181533	-0.309890414182114	0.0847293642934128	-3.65741460196705	0.000254772101500721	0.00657239916560115
asRNA:CR46140	8.9150007941626	0.198389786847998	1.0838359700564	0.183044106607455	0.854763411141957	0.996451851920289
Suv3	938.768336065253	-0.118711842758231	0.135242855393128	-0.877767941331583	0.380069665409712	0.909672210120663
Syt14	7.87914858833864	-0.255151014552873	0.71392624569434	-0.357391279689854	0.720798904080356	0.99187978053839
CG9795	147.253806017615	-0.103435885932587	0.213737686265328	-0.48393845624484	0.628429547094457	0.980926835429663
CG9776	677.447452331825	-0.0151281804713116	0.120509691249718	-0.125534969963231	0.900100041974739	0.998942083043119
Skp2	329.608430223818	-0.101221320857267	0.170430964602281	-0.593913911673728	0.552569693823523	0.963331373904885
CG14645	0.165014332204893	-2.19071460654904	4.36591556525137	-0.501776677493512	0.615824620522269	
CG1103	143.916801621752	-0.491473517992354	0.163022410433198	-3.01476046567074	0.00257182279678469	0.0469626005863621
hkb	0.779948202174815	-0.0895100217353411	2.00026444400001	-0.0447490940529566	0.96430730147019	
CG1090	29.8353901452632	-0.245869936796214	0.384570794484589	-0.639335956662375	0.52260440196445	0.958035763347503
lncRNA:CR44922	26.498337744935	-0.174145769523309	0.368736362644762	-0.472277180027073	0.636728956540422	0.982443409033593
Sfxn1-3	4951.52414577489	0.0840138296825938	0.134728239429104	0.623579956500533	0.532903477196878	0.958228145765367
Cont	458.744024143364	-0.0067094586037917	0.17291684292925	-0.0388016487586286	0.969048530306714	0.999804959142979
tub	648.929450038975	-0.0097756324838109	0.106879106614655	-0.0914643918109857	0.927123598823529	0.998942083043119
CG14646	250.152370478029	-0.0937037569031295	0.126671381412634	-0.739738967540651	0.459458398528044	0.935621045796617
CG34112	63.7145154011507	0.0516335323671282	0.279934250809703	0.184448784733485	0.853661401594424	0.996451851920289
asRNA:CR46139	2.93296588014907	-0.553951898410642	1.22730839726985	-0.451355095135752	0.651733642061178	0.986318451237002
asRNA:CR45999	16.1325166529403	0.908857363428709	0.499177530940967	1.82070968161464	0.0686509997038829	0.462418418071166
CG9855	356.260642004474	0.0913370588710749	0.137195412822547	0.665744262085594	0.505574576852145	0.953255279262452
